date,area_type,area_name,daily_cases,cum_cases,new_deaths_28days,cum_deaths_28days,new_deaths_60days,cum_deaths_60days,new_first_episode,cum_first_episode,new_reinfections,cum_reinfections,new_virus_test,cum_virus_test,new_pcr_test,cum_pcr_test,new_lfd_test,cum_lfd_test,test_roll_pos_pct,test_roll_people,new_first_dose,cum_first_dose,new_second_dose,cum_second_dose,new_third_dose,cum_third_dose,new_admissions,cum_admissions,hospital_cases,ventilator_beds,trans_rate_min,trans_rate_max,trans_growth_min,trans_growth_max
2021-01-17,nation,Scotland,1201.0,164299.0,43.0,5733.0,,,1199.0,164046.0,2.0,253.0,0.0,,0.0,,0.0,0.0,,,4393.0,256702.0,77.0,4173.0,,,161.0,19156.0,1918.0,147.0,,,,
2021-01-16,nation,Scotland,1178.0,163098.0,76.0,5690.0,,,1176.0,162847.0,2.0,251.0,0.0,,0.0,,0.0,0.0,,,19846.0,252309.0,135.0,4096.0,,,173.0,18995.0,1893.0,145.0,,,,
2021-01-15,nation,Scotland,1538.0,161920.0,58.0,5614.0,,,1535.0,161671.0,3.0,249.0,0.0,,0.0,,0.0,0.0,,,15945.0,232463.0,210.0,3961.0,,,182.0,18822.0,1881.0,141.0,,,,
2021-01-14,nation,Scotland,1629.0,160382.0,59.0,5556.0,,,1620.0,160136.0,9.0,246.0,0.0,,0.0,,0.0,0.0,,,16514.0,216518.0,197.0,3751.0,,,200.0,18640.0,1840.0,142.0,1.0,1.4,0.0,6.0
2021-01-13,nation,Scotland,1716.0,158753.0,51.0,5497.0,,,1712.0,158516.0,4.0,237.0,0.0,,0.0,,0.0,0.0,,,16223.0,200004.0,256.0,3554.0,,,181.0,18440.0,1794.0,134.0,,,,
2021-01-12,nation,Scotland,1991.0,157037.0,51.0,5446.0,,,1977.0,156804.0,14.0,233.0,0.0,,0.0,,0.0,0.0,,,15493.0,183781.0,173.0,3298.0,,,208.0,18259.0,1717.0,133.0,,,,
2021-01-11,nation,Scotland,2092.0,155046.0,48.0,5395.0,,,2088.0,154827.0,4.0,219.0,0.0,,0.0,,0.0,0.0,,,11383.0,168288.0,146.0,3125.0,,,241.0,18051.0,1664.0,126.0,,,,
2021-01-10,nation,Scotland,1425.0,152954.0,59.0,5347.0,,,1423.0,152739.0,2.0,215.0,0.0,,0.0,,0.0,0.0,,,2701.0,156905.0,12.0,2979.0,,,172.0,17810.0,1598.0,123.0,,,,
2021-01-09,nation,Scotland,1499.0,151529.0,38.0,5288.0,,,1497.0,151316.0,2.0,213.0,0.0,,0.0,,0.0,0.0,,,6092.0,154204.0,235.0,2967.0,,,181.0,17638.0,1596.0,109.0,,,,
2021-01-08,nation,Scotland,1826.0,150030.0,42.0,5250.0,,,1823.0,149819.0,3.0,211.0,0.0,,0.0,,0.0,0.0,,,10829.0,148112.0,399.0,2732.0,,,201.0,17457.0,1530.0,102.0,,,,
2021-01-07,nation,Scotland,2201.0,148204.0,44.0,5208.0,,,2196.0,147996.0,5.0,208.0,0.0,,0.0,,0.0,0.0,,,10242.0,137283.0,332.0,2333.0,,,203.0,17256.0,1467.0,100.0,0.9,1.3,-2.0,5.0
2021-01-06,nation,Scotland,2550.0,146003.0,50.0,5164.0,,,2543.0,145800.0,7.0,203.0,0.0,,0.0,,0.0,0.0,,,9145.0,127041.0,1023.0,2001.0,,,205.0,17053.0,1384.0,95.0,,,,
2021-01-05,nation,Scotland,3054.0,143453.0,40.0,5114.0,,,3050.0,143257.0,4.0,196.0,0.0,,0.0,,0.0,0.0,,,7986.0,117896.0,918.0,978.0,,,192.0,16848.0,1347.0,93.0,,,,
2021-01-04,nation,Scotland,2383.0,140399.0,37.0,5074.0,,,2375.0,140207.0,8.0,192.0,0.0,,0.0,,0.0,0.0,,,1290.0,109910.0,10.0,60.0,,,188.0,16656.0,1282.0,83.0,,,,
2021-01-03,nation,Scotland,2221.0,138016.0,42.0,5037.0,,,2218.0,137832.0,3.0,184.0,0.0,,0.0,,0.0,0.0,,,228.0,108620.0,0.0,50.0,,,138.0,16468.0,1246.0,81.0,,,,
2021-01-02,nation,Scotland,2213.0,135795.0,42.0,4995.0,,,2211.0,135614.0,2.0,181.0,0.0,,0.0,,0.0,0.0,,,12.0,108392.0,8.0,50.0,,,152.0,16330.0,1212.0,78.0,,,,
2021-01-01,nation,Scotland,1161.0,133582.0,35.0,4953.0,,,1159.0,133403.0,2.0,179.0,0.0,,0.0,,0.0,0.0,,,38.0,108380.0,1.0,42.0,,,130.0,16178.0,1189.0,73.0,,,,
2020-12-31,nation,Scotland,2379.0,132421.0,44.0,4918.0,,,2374.0,132244.0,5.0,177.0,0.0,,0.0,,0.0,0.0,,,3712.0,108342.0,10.0,41.0,,,175.0,16048.0,1174.0,70.0,,,,
2020-12-30,nation,Scotland,2974.0,130042.0,32.0,4874.0,,,2963.0,129870.0,11.0,172.0,0.0,,0.0,,0.0,0.0,,,6893.0,104630.0,23.0,31.0,,,187.0,15873.0,1133.0,69.0,,,,
2020-12-29,nation,Scotland,3137.0,127068.0,27.0,4842.0,,,3130.0,126907.0,7.0,161.0,0.0,,0.0,,0.0,0.0,,,6921.0,97737.0,8.0,8.0,,,154.0,15686.0,1092.0,65.0,,,,
2020-12-28,nation,Scotland,1809.0,123931.0,31.0,4815.0,,,1804.0,123777.0,5.0,154.0,0.0,,0.0,,0.0,0.0,,,1454.0,90816.0,,,,,152.0,15532.0,1040.0,56.0,,,,
2020-12-27,nation,Scotland,1682.0,122122.0,34.0,4784.0,,,1681.0,121973.0,1.0,149.0,0.0,,0.0,,0.0,0.0,,,350.0,89362.0,,,,,142.0,15380.0,993.0,54.0,,,,
2020-12-26,nation,Scotland,1050.0,120440.0,34.0,4750.0,,,1050.0,120292.0,0.0,148.0,0.0,,0.0,,0.0,0.0,,,6.0,89012.0,,,,,110.0,15238.0,985.0,52.0,,,,
2020-12-25,nation,Scotland,516.0,119390.0,35.0,4716.0,,,515.0,119242.0,1.0,148.0,0.0,,0.0,,0.0,0.0,,,10.0,89006.0,,,,,81.0,15128.0,973.0,47.0,,,,
2020-12-24,nation,Scotland,1018.0,118874.0,36.0,4681.0,,,1017.0,118727.0,1.0,147.0,0.0,,0.0,,0.0,0.0,,,2426.0,88996.0,,,,,99.0,15047.0,1008.0,56.0,,,,
2020-12-23,nation,Scotland,1315.0,117856.0,35.0,4645.0,,,1311.0,117710.0,4.0,146.0,0.0,,0.0,,0.0,0.0,,,9173.0,86570.0,,,,,104.0,14948.0,1025.0,56.0,0.9,1.1,-2.0,2.0
2020-12-22,nation,Scotland,1330.0,116541.0,28.0,4610.0,,,1327.0,116399.0,3.0,142.0,0.0,,0.0,,0.0,0.0,,,10667.0,77397.0,,,,,104.0,14844.0,1045.0,60.0,,,,
2020-12-21,nation,Scotland,1304.0,115211.0,25.0,4582.0,,,1304.0,115072.0,0.0,139.0,0.0,,0.0,,0.0,0.0,,,8655.0,66730.0,,,,,106.0,14740.0,1078.0,59.0,,,,
2020-12-20,nation,Scotland,813.0,113907.0,29.0,4557.0,,,812.0,113768.0,1.0,139.0,0.0,,0.0,,0.0,0.0,,,2335.0,58075.0,,,,,69.0,14634.0,1061.0,58.0,,,,
2020-12-19,nation,Scotland,748.0,113094.0,27.0,4528.0,,,748.0,112956.0,0.0,138.0,0.0,,0.0,,0.0,0.0,,,3247.0,55740.0,,,,,93.0,14565.0,1033.0,53.0,,,,
2020-12-18,nation,Scotland,921.0,112346.0,23.0,4501.0,,,920.0,112208.0,1.0,138.0,0.0,,0.0,,0.0,0.0,,,7694.0,52493.0,,,,,90.0,14472.0,1032.0,50.0,,,,
2020-12-17,nation,Scotland,913.0,111425.0,36.0,4478.0,,,909.0,111288.0,4.0,137.0,0.0,,0.0,,0.0,0.0,,,6581.0,44799.0,,,,,97.0,14382.0,1012.0,50.0,0.9,1.1,-2.0,2.0
2020-12-16,nation,Scotland,1028.0,110512.0,31.0,4442.0,,,1028.0,110379.0,0.0,133.0,0.0,,0.0,,0.0,0.0,,,6735.0,38218.0,,,,,108.0,14285.0,1031.0,49.0,,,,
2020-12-15,nation,Scotland,1031.0,109484.0,32.0,4411.0,,,1030.0,109351.0,1.0,133.0,0.0,,0.0,,0.0,0.0,,,6977.0,31483.0,,,,,85.0,14177.0,996.0,45.0,,,,
2020-12-14,nation,Scotland,1082.0,108453.0,31.0,4379.0,,,1081.0,108321.0,1.0,132.0,0.0,,0.0,,0.0,0.0,,,5458.0,24506.0,,,,,91.0,14092.0,1012.0,46.0,,,,
2020-12-13,nation,Scotland,719.0,107371.0,26.0,4348.0,,,719.0,107240.0,0.0,131.0,0.0,,0.0,,0.0,0.0,,,1094.0,19048.0,,,,,72.0,14001.0,1015.0,47.0,,,,
2020-12-12,nation,Scotland,681.0,106652.0,23.0,4322.0,,,681.0,106521.0,0.0,131.0,0.0,,0.0,,0.0,0.0,,,2114.0,17954.0,,,,,68.0,13929.0,994.0,52.0,,,,
2020-12-11,nation,Scotland,875.0,105971.0,20.0,4299.0,,,872.0,105840.0,3.0,131.0,0.0,,0.0,,0.0,0.0,,,5231.0,15840.0,,,,,93.0,13861.0,999.0,53.0,,,,
2020-12-10,nation,Scotland,904.0,105096.0,24.0,4279.0,,,902.0,104968.0,2.0,128.0,0.0,,0.0,,0.0,0.0,,,4888.0,10609.0,,,,,92.0,13768.0,984.0,52.0,0.7,0.9,-5.0,-2.0
2020-12-09,nation,Scotland,1015.0,104192.0,23.0,4255.0,,,1008.0,104066.0,7.0,126.0,0.0,,0.0,,0.0,0.0,,,3814.0,5721.0,,,,,96.0,13676.0,972.0,50.0,,,,
2020-12-08,nation,Scotland,1048.0,103177.0,28.0,4232.0,,,1046.0,103058.0,2.0,119.0,0.0,,0.0,,0.0,0.0,,,1907.0,1907.0,,,,,103.0,13580.0,983.0,57.0,,,,
2020-12-07,nation,Scotland,955.0,102129.0,29.0,4204.0,,,955.0,102012.0,0.0,117.0,0.0,,0.0,,0.0,0.0,,,,,,,,,90.0,13477.0,974.0,59.0,,,,
2020-12-06,nation,Scotland,643.0,101174.0,29.0,4175.0,,,643.0,101057.0,0.0,117.0,0.0,,0.0,,0.0,0.0,,,,,,,,,66.0,13387.0,951.0,62.0,,,,
2020-12-05,nation,Scotland,667.0,100531.0,19.0,4146.0,,,666.0,100414.0,1.0,117.0,0.0,,0.0,,0.0,0.0,,,,,,,,,79.0,13321.0,945.0,64.0,,,,
2020-12-04,nation,Scotland,650.0,99864.0,29.0,4127.0,,,649.0,99748.0,1.0,116.0,0.0,,0.0,,0.0,0.0,,,,,,,,,85.0,13242.0,965.0,65.0,,,,
2020-12-03,nation,Scotland,807.0,99214.0,36.0,4098.0,,,805.0,99099.0,2.0,115.0,0.0,,0.0,,0.0,0.0,,,,,,,,,73.0,13157.0,982.0,69.0,0.8,1.0,-3.0,-1.0
2020-12-02,nation,Scotland,952.0,98407.0,20.0,4062.0,,,951.0,98294.0,1.0,113.0,0.0,,0.0,,0.0,0.0,,,,,,,,,103.0,13084.0,991.0,68.0,,,,
2020-12-01,nation,Scotland,935.0,97455.0,27.0,4042.0,,,932.0,97343.0,3.0,112.0,0.0,,0.0,,0.0,0.0,,,,,,,,,82.0,12981.0,1021.0,70.0,,,,
2020-11-30,nation,Scotland,976.0,96520.0,32.0,4015.0,,,973.0,96411.0,3.0,109.0,0.0,,0.0,,0.0,0.0,,,,,,,,,88.0,12899.0,1041.0,75.0,,,,
2020-11-29,nation,Scotland,558.0,95544.0,28.0,3983.0,,,558.0,95438.0,0.0,106.0,0.0,,0.0,,0.0,0.0,,,,,,,,,70.0,12811.0,1049.0,76.0,,,,
2020-11-28,nation,Scotland,572.0,94986.0,41.0,3955.0,,,572.0,94880.0,0.0,106.0,0.0,,0.0,,0.0,0.0,,,,,,,,,63.0,12741.0,1074.0,77.0,,,,
2020-11-27,nation,Scotland,738.0,94414.0,24.0,3914.0,,,738.0,94308.0,0.0,106.0,0.0,,0.0,,0.0,0.0,,,,,,,,,92.0,12678.0,1099.0,80.0,,,,
2020-11-26,nation,Scotland,807.0,93676.0,23.0,3890.0,,,804.0,93570.0,3.0,106.0,0.0,,0.0,,0.0,0.0,,,,,,,,,101.0,12586.0,1125.0,90.0,0.8,1.0,-3.0,0.0
2020-11-25,nation,Scotland,932.0,92869.0,32.0,3867.0,,,932.0,92766.0,0.0,103.0,0.0,,0.0,,0.0,0.0,,,,,,,,,85.0,12485.0,1156.0,84.0,,,,
2020-11-24,nation,Scotland,996.0,91937.0,30.0,3835.0,,,994.0,91834.0,2.0,103.0,0.0,,0.0,,0.0,0.0,,,,,,,,,105.0,12400.0,1197.0,84.0,,,,
2020-11-23,nation,Scotland,1158.0,90941.0,31.0,3805.0,,,1155.0,90840.0,3.0,101.0,0.0,,0.0,,0.0,0.0,,,,,,,,,108.0,12295.0,1208.0,84.0,,,,
